date,usdtry_close
2023-01-02,18.644729614257812
2023-01-03,18.74329948425293
2023-01-04,18.70686912536621
2023-01-05,18.735950469970703
2023-01-06,18.766599655151367
2023-01-09,18.768489837646484
2023-01-10,18.758499145507812
2023-01-11,18.754459381103516
2023-01-12,18.773399353027344
2023-01-13,18.77869987487793
2023-01-16,18.783069610595703
2023-01-17,18.779090881347656
2023-01-18,18.75263023376465
2023-01-19,18.763029098510742
2023-01-20,18.792699813842773
2023-01-23,18.793350219726562
2023-01-24,18.719240188598633
2023-01-25,18.795230865478516
2023-01-26,18.804000854492188
2023-01-27,18.81049919128418
2023-01-30,18.798599243164062
2023-01-31,18.808000564575195
2023-02-01,18.804000854492188
2023-02-02,18.807449340820312
2023-02-03,18.80525016784668
2023-02-06,18.825319290161133
2023-02-07,18.829099655151367
2023-02-08,18.831600189208984
2023-02-09,18.832359313964844
2023-02-10,18.829700469970703
2023-02-13,18.82975959777832
2023-02-14,18.837459564208984
2023-02-15,18.84394073486328
2023-02-16,18.85038948059082
2023-02-17,18.854820251464844
2023-02-20,18.85346031188965
2023-02-21,18.863500595092773
2023-02-22,18.862699508666992
2023-02-23,18.875200271606445
2023-02-24,18.86302947998047
2023-02-27,18.882020950317383
2023-02-28,18.884199142456055
2023-03-01,18.882400512695312
2023-03-02,18.883399963378906
2023-03-03,18.885700225830078
2023-03-06,18.88681983947754
2023-03-07,18.869890213012695
2023-03-08,18.918100357055664
2023-03-09,18.940799713134766
2023-03-10,18.951900482177734
2023-03-13,18.961389541625977
2023-03-14,18.97100067138672
2023-03-15,18.974899291992188
2023-03-16,18.98699951171875
2023-03-17,19.00200080871582
2023-03-20,19.00787925720215
2023-03-21,19.00881004333496
2023-03-22,19.033199310302734
2023-03-23,19.043899536132812
2023-03-24,19.057199478149414
2023-03-27,19.0802001953125
2023-03-28,19.092580795288086
2023-03-29,19.12070083618164
2023-03-30,19.14689064025879
2023-03-31,19.17569923400879
2023-04-03,19.193479537963867
